0: HİÇ YOK        1:VAR AMA KÖTÜ     2:VAR VE NORMAL     3: VAR VE İYİ,,,,,,,
,,,,,,,
No,BOYUT,Göstergeler,Şirketin Puanı ,Önem Derecesi,Olması Gereken ,,Şirketin Puanı 
73,İK,Yöneticilerin eğitimleri yeterli düzeyde mi,3,6,3,18,18
74,İK,Beyaz yakalı çalışanların sayısı yeterli mi,3,7,3,21,21
75,ÜRETİM,Atık yönetim sisteminiz var mı,1,2,3,6,2
76,PAZARLAMA,Pazarlamadan üretime bilgi akışı var mı,2,8,3,24,16
77,MUHASEBE,Şirket içi arşivleme sistemi var mı,2,6,3,18,12
78,ÜRETİM,Arıza veya bakımda müdahale hızı yüksek mi,1,6,3,18,6
79,YÖNETİM,Fiziksel olarak  çalışma ortamı yeterli midir,2,4,3,12,8
80,İK,Personelin çalışma ve dinlenme ortamıları yeterli midir,2,7,3,21,14
81,ÜRETİM,Risk analizleri yapılmış mı,0,6,3,18,0
82,ÜRETİM,Firelerle veya hurdalarla ilgili çalışmalar yapılıyor mu,2,5,3,15,10
83,PAZARLAMA,Marka iletişim planı var mı,0,2,3,6,0
84,İHRACAT,İhracat çalışmaları yeterli düzeyde mi (satışların % 10 ve üstü),2,5,3,15,10
85,SATINALMA,Tedarikçi performans ölçümleri yapılıyor mu,2,6,3,18,12
86,YÖNETİM,Bağımsız dış denetim yapılıyor mu,0,2,3,6,0
87,YÖNETİM,Yeminli mali müşavirle çalışılıyor mu,3,3,3,9,9
88,ÜRETİM,Kurumsal kaynak planlaması sistemi var mı,2,8,3,24,16
89,YÖNETİM,Şirkette çalışan aile fertleri arasındaki ilişkilerin düzeyi,1,10,3,30,10
90,YÖNETİM,Şirkette gelecek kuşakların varlığı,3,10,3,30,30
91,İK,Yetkinlik yönetimi çalışması yapılmış mı,0,5,3,15,0
92,FİNANS,Finansal analiz çalışmaları yapılıyor mu,1,6,3,18,6
93,PAZARLAMA,"Bayi, acente, distribütör veya satış noktaları toplantıları yıllık olarak yapılıyor mu",1,8,3,24,8
94,YÖNETİM,Şirket çalışmaları sıkı bir şekilde denetleniyor mu (iç denetim vb. birim var mı),0,10,3,30,0
95,PAZARLAMA,Yurt dışı marka tescili var mı,3,3,3,9,9
96,PAZARLAMA,Hedef yurtdışı pazarlarla ilgili çalışmalar var mı,2,10,3,30,20
97,PAZARLAMA,Hedef yurtdışı pazarda marka tescili var mı,3,2,3,6,6
98,FİNANS,Özkaynakların yeterliliği (borçlanma durumu),3,8,3,24,24
99,PAZARLAMA,Şirketin satış gücü ,2,10,3,30,20
100,İK,İş akış şemaları oluşturulmuş mu,1,2,3,6,2
101,YÖNETİM,Genel müdür (koordinatör) belli ve yeterli mi,3,5,3,15,15
102,İK,"Düzenlenen toplantı, seminer ve eğitimlere katılım durumu ",2,8,3,24,16
103,PAZARLAMA,Üst segment müşterilere hitap edebilme ,2,5,3,15,10
104,PAZARLAMA,Reklam ve tanıtım çalışmaları ,2,6,3,18,12
105,BİLGİ İŞLEM,Şirket içindeki bilgiler yedekleniyor ve depolanıyor mu,2,8,3,24,16
106,YÖNETİM,Kurumsallaşmaya olan inanç ,2,10,3,30,20
107,ÜRETİM,Kapasite kullanım oranı ,1,4,3,12,4
108,YÖNETİM,Şirketinizde uzun vadeli stratejik planlama çalışmaları yapılıyor mu?,2,10,3,30,20
109,BİLGİ İŞLEM,ERP yazılımı kullanılıyor mu?,2,8,3,24,16
110,BİLGİ İŞLEM,Teknolojik yeterlilik ,2,5,3,15,10
,,KURUMSALLAŞMA PUANI ,66.67,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
